TransactionID,EquipmentID,CustomerID,StartDate,EndDate,RentalDays,DailyRate,BaseRevenue,ActualRevenue,Status,load_timestamp,source_file,pipeline_run_id,quarantined,quarantine_reason
TXN01038,EQ017,CUST003,2024-09-17,2024-09-19,2.0,180,360,342.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01061,EQ018,CUST011,2024-10-24,2024-11-07,14.0,180,2520,2142.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01101,EQ018,CUST009,2024-11-24,2024-11-29,5.0,180,900,900.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01179,EQ018,CUST009,2024-12-04,2024-12-09,5.0,180,900,900.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01040,EQ019,CUST010,2024-09-03,2024-09-04,1.0,180,180,180.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01027,EQ019,CUST009,2024-09-08,2024-09-13,5.0,180,900,855.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01095,EQ019,CUST005,2024-10-08,2024-10-13,5.0,180,900,1105.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01169,EQ019,CUST006,2024-12-09,2024-12-10,1.0,180,180,547.3,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01201,EQ019,CUST013,2025-01-22,2025-01-29,7.0,180,1260,1260.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01115,EQ020,CUST012,2024-11-10,2024-12-01,21.0,320,6720,6920.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01167,EQ020,CUST001,2024-12-05,2024-12-10,5.0,320,1600,1600.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01216,EQ020,CUST003,2025-01-05,2025-01-19,14.0,320,4480,3958.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01200,EQ020,CUST003,2025-01-21,2025-02-11,21.0,320,6720,6298.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01013,EQ021,CUST008,2024-09-05,2024-09-08,3.0,320,960,960.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01000,EQ021,CUST002,2024-09-09,2024-09-10,1.0,320,320,320.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01045,EQ021,CUST009,2024-10-27,2024-10-28,1.0,320,320,320.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01134,EQ021,CUST003,2024-11-02,2024-11-09,7.0,320,2240,2240.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01235,EQ021,CUST003,2025-01-22,2025-02-12,21.0,320,6720,6720.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01062,EQ022,CUST015,2024-10-11,2024-10-16,5.0,450,2250,2137.5,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01193,EQ022,CUST013,2025-01-13,2025-01-18,5.0,450,2250,2137.5,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01050,EQ023,CUST015,2024-10-02,2024-10-05,3.0,450,1350,1350.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01162,EQ023,CUST006,2024-12-15,2024-12-18,3.0,450,1350,1350.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01184,EQ023,CUST005,2025-01-09,2025-01-10,1.0,450,450,450.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01196,EQ023,CUST015,2025-01-14,2025-01-19,5.0,450,2250,2387.5,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01010,EQ024,CUST004,2024-09-13,2024-09-16,3.0,280,840,840.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01054,EQ024,CUST015,2024-10-14,2024-10-19,5.0,280,1400,1400.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01170,EQ024,CUST002,2024-12-25,2025-01-01,7.0,280,1960,1960.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01099,EQ025,CUST004,2024-11-21,2024-12-05,14.0,420,5880,5880.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01166,EQ025,CUST009,2024-12-07,2024-12-10,3.0,420,1260,1260.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01187,EQ025,CUST010,2025-01-29,2025-02-12,14.0,420,5880,5292.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
